session_id;session_title;first_speaker;track;session_type;experience_Level;session_abstract
1492901668615001brln;Preventing Errors Before They Happen;Are you tired of null pointer exceptions, unintended side effects, SQL injections, concurrency errors, mistaken equality tests, and other runtime errors? Are your users tired of them in your code? This presentation shows you how to guarantee, at compile time, that these runtime exceptions cannot occur. You have nothing to lose but your bugs!;Werner Dietl;Java Development Tools;Tutorial;Introductory;Are you tired of null pointer exceptions, unintended side effects, SQL injections, concurrency errors, mistaken equality tests, and other runtime errors? Are your users tired of them in your code? This presentation shows you how to guarantee, at compile time, that these runtime exceptions cannot occur. You have nothing to lose but your bugs!
1493067940188001bzR3;Techniques for Getting More Kids, Especially Girls, Involved in STEAM;Getting kids involved and engaged in STEAM is important, not just because STEAM fields offer awesome job opportunities but also because our future depends on it! STEAM topics provide skills that ensure success in any number of careers. This session presents several hands-on activities that will spark the interest and curiosity of young minds and notes some activities in particular that engage girls, including techniques for teaching Scratch, a simple yet powerful programming language for children that is very easy to use yet contains many programming constructs, and some maker project ideas. It also discusses visuals that work and the importance of role models and demonstrates some role model activities. ;Sharat Chander;Java Community;Tutorial;Introductory;Getting kids involved and engaged in STEAM is important, not just because STEAM fields offer awesome job opportunities but also because our future depends on it! STEAM topics provide skills that ensure success in any number of careers. This session presents several hands-on activities that will spark the interest and curiosity of young minds and notes some activities in particular that engage girls, including techniques for teaching Scratch, a simple yet powerful programming language for children that is very easy to use yet contains many programming constructs, and some maker project ideas. It also discusses visuals that work and the importance of role models and demonstrates some role model activities. 
1493071517800001TdAu;Move Data Between Apache Hadoop and Oracle Database for Customer 360-Degree Analytics;Customer 360-degree views require data from mobile device feeds, online community logs, social media feeds (often processed with Apache Hadoop), and a wealth of information stored in the database. Tools for data movement between big data platforms and Oracle Database are necessary for machine learning and complex analytics using all this data. In this session, step through using some of these tools with direct path load, SQL, and custom Hive SerDes and understand how they work with big data and database services in Oracle Cloud Infrastructure.;Melliyal Annamalai;Oracle Code: Containers, Microservices, DevOps, Databases, APIs, and more;Tutorial;Introductory;Customer 360-degree views require data from mobile device feeds, online community logs, social media feeds (often processed with Apache Hadoop), and a wealth of information stored in the database. Tools for data movement between big data platforms and Oracle Database are necessary for machine learning and complex analytics using all this data. In this session, step through using some of these tools with direct path load, SQL, and custom Hive SerDes and understand how they work with big data and database services in Oracle Cloud Infrastructure.
14932222361110010ba2;Meet the Oracle JavaFX and JDK Client Team;This BOF session is an excellent opportunity to meet development engineers from the Oracle JavaFX, AWT/Swing, and Java 2D teams. It’s expected to be a lively discussion about the development process, issues faced by developers, progress over the past year, and future plans for the Java UI. Likely topics include the new features in JDK 9 and beyond and a discussion of involvement in OpenJDK and OpenJFX projects.;Kevin Rushforth;Java Clients and User Interfaces;BOF (Birds-of-a-Feather) Session;Intermediate;This BOF session is an excellent opportunity to meet development engineers from the Oracle JavaFX, AWT/Swing, and Java 2D teams. It’s expected to be a lively discussion about the development process, issues faced by developers, progress over the past year, and future plans for the Java UI. Likely topics include the new features in JDK 9 and beyond and a discussion of involvement in OpenJDK and OpenJFX projects.
1493070354579001bztO;HarfBuzz: Modern OpenType Layout Comes to JDK 9 (JEP 258);HarfBuzz is the standard OpenType complex text layout library for open source projects, used in Firefox, GNOME, ChromeOS, Chrome, LibreOffice, XeTeX, Android, and KDE. In JDK 9, HarfBuzz is used for text layout, replacing the long-standing use of the deprecated layout component of the ICU library. This gives Java 2D and Swing applications a modern, secure, performant, up-to-date library with better script and font support and better support for advanced typography. This work was done to implement JEP 258 in OpenJDK. This BOF session compares and contrasts its impact on applications, especially emphasizing new-feature support. The session is a forum where the project’s developers can interact with interested Java developers and solicit ideas and feedback.;Philip Race;Java Clients and User Interfaces;BOF (Birds-of-a-Feather) Session;Advanced;HarfBuzz is the standard OpenType complex text layout library for open source projects, used in Firefox, GNOME, ChromeOS, Chrome, LibreOffice, XeTeX, Android, and KDE. In JDK 9, HarfBuzz is used for text layout, replacing the long-standing use of the deprecated layout component of the ICU library. This gives Java 2D and Swing applications a modern, secure, performant, up-to-date library with better script and font support and better support for advanced typography. This work was done to implement JEP 258 in OpenJDK. This BOF session compares and contrasts its impact on applications, especially emphasizing new-feature support. The session is a forum where the project’s developers can interact with interested Java developers and solicit ideas and feedback.
1499782723898001QZ9J;JUnit 5;This BOF session briefly reviews the journey that has led to the upcoming release of JUnit 5. One or more members of the JUnit 5 team will be there to share what they’ve learned in the past two years and to answer any questions you have. Anyone interested in learning more about JUnit Jupiter (the new programming and extension models in JUnit 5) or in discussing how to build a TestEngine on the new JUnit platform is welcome to join.;Sam Brannen;Core Java Platform;BOF (Birds-of-a-Feather) Session;Introductory;This BOF session briefly reviews the journey that has led to the upcoming release of JUnit 5. One or more members of the JUnit 5 team will be there to share what they’ve learned in the past two years and to answer any questions you have. Anyone interested in learning more about JUnit Jupiter (the new programming and extension models in JUnit 5) or in discussing how to build a TestEngine on the new JUnit platform is welcome to join.
1499986328105001Y3U5;Blockchain Introduction for Developers;This session introduces blockchain technology to nonfinancial people. It highlights the architecture, history, and technical solutions. It also investigates what blockchain means in fintech (the financial technology industry) and how this can be applied to healthcare (electronic patient files) and general case management involving many stakeholders. The session concludes with some code examples from open source projects to help developers who want to get started with this architectural style.;Lonneke Dikmans;Oracle Code: Containers, Microservices, DevOps, Databases, APIs, and more;BOF (Birds-of-a-Feather) Session;Introductory;This session introduces blockchain technology to nonfinancial people. It highlights the architecture, history, and technical solutions. It also investigates what blockchain means in fintech (the financial technology industry) and how this can be applied to healthcare (electronic patient files) and general case management involving many stakeholders. The session concludes with some code examples from open source projects to help developers who want to get started with this architectural style.
1499986691137001Ydml;Machine Learning Applied to Regulatory Technology;Financial authorities face big challenges today: the number of rules that need to be enforced is increasing, and they are becoming more complex. The increased workload forces them to hire new people with less experience. In this session, you will learn how machine learning can help regulatory organizations improve supervision quality while decreasing the effort of training new people. The presentation discusses different types of machine learning that can be applied in such situations, the challenges associated with implementing machine learning, and the technologies that can be used. ;Lonneke Dikmans;Oracle Code: Containers, Microservices, DevOps, Databases, APIs, and more;BOF (Birds-of-a-Feather) Session;Introductory;Financial authorities face big challenges today: the number of rules that need to be enforced is increasing, and they are becoming more complex. The increased workload forces them to hire new people with less experience. In this session, you will learn how machine learning can help regulatory organizations improve supervision quality while decreasing the effort of training new people. The presentation discusses different types of machine learning that can be applied in such situations, the challenges associated with implementing machine learning, and the technologies that can be used. 
1492567077162001YXjb;Goin’ Mobile: Developing JavaFX Apps for iOS and Android with Java 9;JavaFX 9 offers a rich set of visually appealing GUI components with a convenient property binding mechanism for event handling. This tutorial shows you how to develop modular mobile applications on Java 9 with JavaFX and deploy them to iOS and Android devices. The tutorial begins with an overview of JavaFX GUI controls, property binding techniques, and how to use FXML effectively with JavaFX. You’ll learn how to design and deploy mobile applications with Java 9 modules and deploy them to different platforms from one codebase. You’ll also learn how to use local binding techniques with GUI control properties and how to apply remote binding to cloud application connections.;Paul Anderson;Java Clients and User Interfaces;Tutorial;Introductory;JavaFX 9 offers a rich set of visually appealing GUI components with a convenient property binding mechanism for event handling. This tutorial shows you how to develop modular mobile applications on Java 9 with JavaFX and deploy them to iOS and Android devices. The tutorial begins with an overview of JavaFX GUI controls, property binding techniques, and how to use FXML effectively with JavaFX. You’ll learn how to design and deploy mobile applications with Java 9 modules and deploy them to different platforms from one codebase. You’ll also learn how to use local binding techniques with GUI control properties and how to apply remote binding to cloud application connections.
1494000355088001Udpv;Lambda Programming Laboratory;<b>NOTE: THIS IS A BRING YOUR OWN LAPTOP HANDS-ON LAB.</b><br><br>Interested in trying out the Lambda and Streams features of Java 8? If so, this “higher-order lab” is for you. Participants will use JDK 8 and NetBeans to work on exercises intended to teach them about the Lambda feature of the Java programming language and the new Streams Library API. The exercises start off very simply, so beginners can learn the fundamentals. Additional exercises covering grouping and parallel reduction aim to challenge more-advanced participants. You need not have any prior knowledge of Lambda, although having attended a prior JavaOne Lambda session or tutorial will be helpful.Lab Requirements may be found here: https://static.rainfocus.com/oracle/oow17/ses/Attendee_BYOL_lab_Set_Ups_OOW17.pdf;Stuart Marks;Core Java Platform;HOL (Hands-on Lab) Session;Introductory;<b>NOTE: THIS IS A BRING YOUR OWN LAPTOP HANDS-ON LAB.</b><br><br>Interested in trying out the Lambda and Streams features of Java 8? If so, this “higher-order lab” is for you. Participants will use JDK 8 and NetBeans to work on exercises intended to teach them about the Lambda feature of the Java programming language and the new Streams Library API. The exercises start off very simply, so beginners can learn the fundamentals. Additional exercises covering grouping and parallel reduction aim to challenge more-advanced participants. You need not have any prior knowledge of Lambda, although having attended a prior JavaOne Lambda session or tutorial will be helpful.Lab Requirements may be found here: https://static.rainfocus.com/oracle/oow17/ses/Attendee_BYOL_lab_Set_Ups_OOW17.pdf
